player,avg_points,line_quality,team_quality,team,match_cnt,raw_score,power_rank,power_rank_pct,opponent_strength
jeffrey_popper,0.9302325581395349,0.8490566037735849,0.9999999999999999,Lake Club 2,1,0.9021495671945431,255.0,100.0,0.7582239685135692
maurizio_morello,0.9612403100775193,0.7783018867924529,0.9999999999999999,Lake Club 2,6,0.8756698380030639,254.0,100.0,0.5830088073979309
will_jarvee,0.9054263565891473,0.9056603773584906,0.9999999999999999,Lake Club 2,10,0.8753816880884948,253.0,99.0,0.5787183476778696
kevin_scanlan,0.9457364341085271,0.8490566037735849,0.9999999999999999,Lake Club 2,3,0.8744704906125759,252.0,99.0,0.5271851633934784
john_wood,0.9767441860465116,0.8490566037735849,0.9090909090909091,Roxbury 2,4,0.8597344890601939,251.0,98.0,0.4571340184424322
chris_shay,0.8716623600344531,0.8071278825995809,0.9999999999999999,Lake Club 2,9,0.8387081785554937,250.0,98.0,0.566896933467158
tom_moellering,0.8475452196382429,0.8962264150943398,0.9090909090909091,Roxbury 2,9,0.8303773498558881,249.0,98.0,0.5861235745441932
james_shen,0.8527131782945736,0.8490566037735849,0.9090909090909091,Roxbury 2,5,0.8218232021287912,248.0,97.0,0.5764851288222285
doug_conn,0.8837209302325582,0.7783018867924529,0.9090909090909091,Roxbury 2,2,0.8104573055450293,247.0,97.0,0.5020288517580367
mike_ward,0.9186046511627907,0.7783018867924529,0.8181818181818182,Wilton Riding,4,0.7996899046726275,246.0,96.0,0.44680713769678226
joe_rogers,0.9767441860465116,0.8490566037735849,0.4545454545454545,Rowayton 2,1,0.7880327082965302,245.0,96.0,0.5851827527452802
chul_park,0.8630490956072351,0.6603773584905659,0.9090909090909091,Roxbury 2,3,0.7786365528957536,244.0,96.0,0.5091387090413527
dan_gimmel,0.9364341085271317,0.47169811320754723,0.9999999999999999,Lake Club 2,5,0.7764467720480362,243.0,95.0,0.40474533712878386
james_newfield,1.0,0.2830188679245283,0.9999999999999999,Lake Club 2,2,0.7742180373834883,242.0,95.0,0.4507617586572172
jeff_himmel,0.821705426356589,0.6469002695417789,0.9999999999999999,Lake Club 2,7,0.7728889974130583,241.0,95.0,0.4916100109615828
